요금제,"월정액(프로모션가의 경우 12/31까지 가입 가능하며, 6/31까지 해당 가격으로 제공함)",영상 화질,오디오 품질,동시 스트리밍 가능 기기 수,메가MGC커피(매월 가입일자에 문자메시지로 발송),스타벅스,멀티프로필,혜택,유튜브 프리미엄,롯데시네마
디즈니플러스 스탠다드 +메가MGC커피,"판매가 13,000원 프로모션가 9,900원",최대 Full HD 1080p,최대 5.1,2,아메리카노(HOT) 3잔,,,,,
디즈니플러스 프리미엄 +메가MGC커피,"판매가 17,000원 프로모션가 13,900원",최대 4K Ultra HD & HDR,최대 Dolby Atmos,4,아메리카노(HOT) 3잔,,,,,
티빙 프리미엄+메가MGC커피,"판매가 20,100원 프로모션가 17,000원",1080p FHD +4K (일부 콘텐츠),,4,아메리카노(HOT) 3잔,,4,,,
티빙 스탠다드+메가MGC커피,"판매가 16,600원 프로모션가 13,500원",1080p FHD,,2,아메리카노(HOT) 3잔,,4,,,
티빙 베이직+메가MGC커피,"판매가 12,600원 프로모션가 9,500원",720p HD,,1,아메리카노(HOT) 3잔,,4,,,
티빙 광고형 스탠다드+메가MGC커피,"판매가 6,200원 프로모션가 5,500원",1080p HD,,4,아메리카노(HOT) 1잔,,4,,,
디즈니+ 스탠다드 생활구독팩,"판매가 11,900원 프로모션가 9,900원",최대 Full HD 1080p,최대 5.1,2,,,,"• 생활구독 원픽 기프티쇼 MMS 발송 • 유효기간 30일내 원하는 기프티쇼 택1 ① 다이소 4천원권 ② GS25편의점 4천원권 ③ 올리브영 4천원권 ④ 커카오 이모티콘 플러스 1개월권(4,900원 상당)",,
디즈니+ 프리미엄 생활구독팩,"판매가 15,900원 프로모션가 13,900원",최대 4K Ultra HD & HDR,최대 Dolby Atmos,4,,,,"• 생활구독 원픽 기프티쇼 MMS 발송 • 유효기간 30일내 원하는 기프티쇼 택1 ① 다이소 4천원권 ② GS25편의점 4천원권 ③ 올리브영 4천원권 ④ 커카오 이모티콘 플러스 1개월권(4,900원 상당)",,
유튜브 프리미엄 생활구독팩,"판매가 16,900원 프로모션가 14,900원",,,,,,,"• 생활구독 원픽 기프티쇼 MMS 발송 • 유효기간 30일내 원하는 기프티쇼 택1 ① 다이소 4천원권 ② GS25편의점 4천원권 ③ 올리브영 4천원권 ④ 카카오 이모티콘 플러스 1개월권(4,900원 상당)",유튜브와 유튜브 뮤직 광고 없이 감상 백그라운드 재생 및 오프라인 저장 가능,
디즈니플러스 스탠다드 +스타벅스,"판매가 12,600원 프로모션가 9,900원",최대 Full HD 1080p,최대 5.1,2,,스티벅스 이메리카노 Tall 매월 기프티쇼 MMS 발송 (유효기간 30일),,,,
디즈니플러스 프리미엄 +스타벅스,"판매가 16,600원 프로모션가 13,900원",최대 4K Ultra HD & HDR,최대 Dolby Atmos,4,,스티벅스 이메리카노 Tall 매월 기프티쇼 MMS 발송 (유효기간 30일),,,,
유튜브 프리미엄+스타벅스,"판매가 17,600원 프로모션가 14,900원",,,,,스티벅스 아메리카노 tall 매월 기프티쇼 MMS 발송 (유효기간 30일),,,유튜브와 유튜브 뮤직 광고 없이 감상 백그라운드 재생 및 오프라인 저장 가능,
티빙 프리미엄 +스타벅스,"판매가 19,700원 프로모션가 17,000원",1080p FHD +4K (일부 콘텐츠),,4,,스타벅스 아메리카노 tall 매월 기프티쇼 MMS 발송 (유효기간 30일),4,,,
티빙 스탠다드 +스타벅스,"판매가 16,200원 프로모션가 13,500원",1080P FHD,,2,,스타벅스 아메리카노 tall 매월 기프티쇼 MMS 발송 (유효기간 30일),4,,,
티빙 베이직 +스타벅스,"판매가 12,200원 프로모션가 9,500원",720P HD,,1,,스타벅스 아메리카노 tall 매월 기프티쇼 MMS 발송 (유효기간 30일),4,,,
유튜브 프리미엄+롯데시네마,"판매가 27,900원",,,,,,,,유튜브와 유튜브 뮤직 광고 없이 감상 백그라운드 재생 및 오프라인 저장 가능,롯데시네마 2D 1인 영화관람권 매월 기프티쇼 MMS 발송 (유효기간 30일)
매거진5종,"4,000원",,,,,,,국내+해외 매거진 총 5권 선택 구독 (해외매거진 최대 2종 선택 가능),,
국내매거진 무제한,"7,000원",,,,,,,국내매거진 1천여종 무제한 구독,,
국내해외매거진 무제한,"13,000원",,,,,,,국내+해외 매거진 무제한 구독,,
밀리의 서재,"9,900원",,,,,,,밀리의서재 전자책 월 정기구독 KT 모바일을 통해 '밀리의서재' 전자책 서비스를 구독할 수 있는 상품입니다.,,
지니 스마트 음악감상,"6,140원",,,,,,,지니 전용 앱에서 무제한 스트리밍 음악 감상 KT 모바일을 통해 '지니 스마트 음악감상' 서비스를 구독할 수 있는 상품입니다.,,
넷플릭스 프리미엄,"16,000원",4K UHD,,4,,,,,,
넷플릭스 스탠다드,"12,500원",1080P Full HD,,2,,,,,,
넷플릭스 광고형 스탠다드,"6,500원",1080P Full HD,,2,,,,,,
디즈니+ 스탠다드,"8,900원",최대 Full HD 1080p,최대 5.1,2,,,,,,
디즈니+ 프리미엄,"12,900원",최대 4K Ultra HD & HDR,최대 Dolby Atmos,4,,,,,,
유튜브 프리미엄,"13,900원",,,,,,,유튜브와 유튜브 뮤직 광고 없이 감상 백그라운드 재생 및 오프라인 저장 가능,,
